generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
14,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09532728791236877,0
14,9,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09194323420524597,0
15,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09595485776662827,0
15,1,-0.04520540311932564,0.04520540311932564,0.0,0.0,0.08888140320777893,0
15,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09292133897542953,0
15,3,-0.04544826224446297,0.04544826224446297,3.725290298461914e-09,0.0,0.09379202872514725,0
15,4,-0.044177230447530746,0.044177230447530746,0.0,0.0,0.0905192419886589,0
15,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09424334764480591,0
15,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09264782071113586,0
15,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09160622954368591,0
15,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0973125472664833,0
15,9,-0.04412473365664482,0.04412473365664482,0.0,0.0,0.09415716677904129,0
16,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09345424175262451,0
16,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09093233197927475,0
16,2,-0.04601414129137993,0.04601414129137993,3.725290298461914e-09,0.0,0.08771064132452011,0
16,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09012026339769363,0
16,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09366557002067566,0
16,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09065252542495728,0
16,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09321903437376022,0
16,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09019962698221207,0
16,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09024982899427414,0
16,9,-0.044245779514312744,0.044245779514312744,0.0,0.0,0.09252580255270004,0
17,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09158145636320114,0
17,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0894986018538475,0
17,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0919475331902504,0
17,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09419486671686172,0
17,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09119240194559097,0
17,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09311441332101822,0
17,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0888407751917839,0
17,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.089932881295681,0
17,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09138834476470947,0
17,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09042220562696457,0
18,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09262136369943619,0
18,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08828026801347733,0
18,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09487088769674301,0
18,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.088784359395504,0
18,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09192676097154617,0
18,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09748546034097672,0
18,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09159234911203384,0
18,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09100156277418137,0
18,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0925610288977623,0
18,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09345686435699463,0
19,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09320039302110672,0
19,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08669369667768478,0
19,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09142958372831345,0
19,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09066680818796158,0
19,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08800625801086426,0
19,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09179142117500305,0
19,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09002498537302017,0
19,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09209118038415909,0
19,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0886259377002716,0
19,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08969340473413467,0
20,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0915810838341713,0
20,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09130620956420898,0
20,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09550052136182785,0
